loan_id,origination_month,original_balance,interest_rate,loan_term_months,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,vintage_year
LN0000001,2018-01,279000,6.375,120,660-699,96-100,<=28,KS,Purchase,Primary,Condo,ServicerD,2018
LN0000002,2020-04,209000,7.5,360,780+,<=60,44-50,KS,Purchase,Primary,Co-op,ServicerE,2020
LN0000003,2019-03,129000,7.75,360,740-779,96-100,37-43,NE,Purchase,Primary,PUD,ServicerE,2019
LN0000004,2018-11,73000,2.875,360,700-739,71-80,>50,ID,Purchase,Primary,PUD,ServicerB,2018
LN0000005,2022-02,177000,3.625,360,620-659,91-95,29-36,ID,Purchase,Primary,Condo,ServicerE,2022
LN0000006,2022-07,205000,2.5,240,620-659,96-100,29-36,NH,Refinance,Primary,Single Family,ServicerB,2022
LN0000007,2018-01,265000,4.25,360,<620,91-95,44-50,KS,Purchase,Primary,Condo,ServicerE,2018
LN0000008,2018-04,200000,5.75,360,780+,71-80,37-43,WV,Refinance,Primary,Condo,ServicerA,2018
LN0000009,2019-09,107000,5.875,240,740-779,71-80,29-36,RI,Cash-Out Refinance,Primary,Co-op,ServicerD,2019
LN0000010,2022-01,110000,3.25,360,740-779,<=60,37-43,MT,Cash-Out Refinance,Primary,Multi-Family,ServicerA,2022
LN0000011,2022-04,250000,6.75,360,<620,<=60,44-50,MS,Purchase,Primary,PUD,ServicerC,2022
LN0000012,2022-07,145000,2.99,360,780+,71-80,44-50,NE,Cash-Out Refinance,Primary,Co-op,ServicerB,2022
LN0000013,2019-08,87000,4.25,360,780+,96-100,44-50,NM,Purchase,Primary,Co-op,ServicerE,2019
LN0000014,2022-05,410000,6.75,240,660-699,71-80,37-43,DE,Purchase,Secondary,Single Family,ServicerC,2022
LN0000015,2018-03,73000,3.555,120,620-659,91-95,37-43,SD,Purchase,Primary,Condo,ServicerD,2018
LN0000016,2021-06,229000,2.99,360,,71-80,37-43,SD,Refinance,Primary,Single Family,ServicerC,2021
LN0000017,2020-03,51000,4.0,360,,71-80,,NM,Purchase,Primary,PUD,ServicerE,2020
LN0000018,2019-06,89000,6.5,180,700-739,71-80,44-50,KS,Purchase,Primary,Condo,ServicerB,2019
LN0000019,2018-02,224000,5.0,360,700-739,81-90,>50,,Cash-Out Refinance,Primary,Multi-Family,ServicerA,2018
LN0000020,2021-02,181000,5.0,360,660-699,81-90,29-36,MT,Cash-Out Refinance,Primary,Single Family,ServicerB,2021
LN0000021,2020-06,161000,3.25,360,740-779,71-80,37-43,SD,Cash-Out Refinance,Primary,Single Family,ServicerD,2020
LN0000022,2022-05,546000,3.125,360,,71-80,<=28,ID,Purchase,Primary,Multi-Family,ServicerA,2022
LN0000023,2018-12,151000,3.5,360,660-699,96-100,44-50,NH,Refinance,Investment,Condo,ServicerB,2018
LN0000024,2021-09,219000,7.25,360,,71-80,37-43,MS,Purchase,Primary,Co-op,ServicerA,2021
LN0000025,2018-07,110000,3.125,360,700-739,81-90,44-50,NM,Cash-Out Refinance,Primary,PUD,ServicerE,2018
LN0000026,2018-09,188000,3.625,360,740-779,91-95,37-43,SD,Refinance,Primary,Single Family,ServicerA,2018
LN0000027,2020-11,134000,2.99,360,620-659,96-100,<=28,ID,Cash-Out Refinance,Primary,Co-op,ServicerC,2020
LN0000028,2022-06,106000,3.0,360,700-739,,37-43,NH,Purchase,Investment,Single Family,ServicerE,2022
LN0000029,2022-04,108000,2.25,360,700-739,71-80,44-50,DE,Refinance,Primary,Condo,ServicerD,2022
LN0000030,2018-01,118000,4.5,360,<620,91-95,37-43,WV,Refinance,Primary,PUD,ServicerA,2018
LN0000031,2019-05,592000,6.75,360,,71-80,37-43,MS,Purchase,Primary,Co-op,ServicerD,2019
LN0000032,2018-04,143000,6.875,240,620-659,71-80,37-43,NH,Cash-Out Refinance,Primary,Multi-Family,ServicerD,2018
LN0000033,2018-07,122000,3.5,360,<620,<=60,<=28,NE,Purchase,Primary,Condo,ServicerD,2018
LN0000034,2020-08,103000,2.875,240,780+,61-70,37-43,MT,Refinance,Primary,Multi-Family,ServicerB,2020
LN0000035,2020-03,196000,2.75,360,780+,71-80,44-50,NE,Purchase,Primary,Condo,ServicerB,2020
LN0000036,2020-06,114000,2.625,360,740-779,91-95,<=28,VT,Purchase,Secondary,Co-op,ServicerB,2020
LN0000037,2019-11,152000,5.0,360,660-699,71-80,37-43,ID,Cash-Out Refinance,Primary,Co-op,ServicerB,2019
LN0000038,2020-12,253000,4.0,360,620-659,<=60,<=28,ID,Purchase,Primary,PUD,ServicerE,2020
LN0000039,2018-10,153000,3.0,180,740-779,96-100,37-43,HI,Refinance,Primary,Multi-Family,ServicerE,2018
LN0000040,2019-09,261000,5.125,120,700-739,71-80,44-50,NM,Cash-Out Refinance,Primary,Condo,ServicerC,2019
LN0000041,2019-03,184000,6.875,360,620-659,<=60,<=28,NM,Purchase,Primary,Single Family,ServicerE,2019
LN0000042,2021-07,302000,7.0,360,700-739,61-70,>50,NH,Other,Primary,PUD,ServicerE,2021
LN0000043,2020-11,179000,8.1,360,<620,96-100,37-43,NV,Purchase,Investment,Co-op,ServicerD,2020
LN0000044,2022-04,450000,4.3,360,780+,<=60,44-50,MT,Cash-Out Refinance,Primary,Co-op,ServicerC,2022
LN0000045,2020-01,200000,3.125,360,660-699,96-100,>50,NH,Cash-Out Refinance,Primary,PUD,ServicerE,2020
LN0000046,2019-01,163000,6.999,360,740-779,71-80,37-43,NV,Refinance,Primary,Condo,ServicerA,2019
LN0000047,2020-07,42000,4.49,360,660-699,71-80,29-36,SD,Refinance,Primary,Multi-Family,ServicerD,2020
LN0000048,2020-02,753000,3.875,360,,61-70,<=28,ID,Refinance,Primary,Single Family,ServicerE,2020
LN0000049,2019-10,156000,5.5,360,700-739,<=60,37-43,MT,Cash-Out Refinance,Investment,Multi-Family,ServicerA,2019
LN0000050,2020-04,191000,3.75,360,620-659,61-70,29-36,NH,Purchase,Primary,Condo,ServicerE,2020
LN0000051,2021-07,189000,3.125,360,780+,61-70,44-50,VT,Refinance,Primary,Condo,ServicerE,2021
LN0000052,2021-03,714000,2.875,240,740-779,<=60,37-43,DE,Refinance,Primary,Multi-Family,ServicerA,2021
LN0000053,2020-03,182000,5.625,360,780+,61-70,37-43,ID,Purchase,Primary,Condo,ServicerD,2020
LN0000054,2019-12,186000,2.625,360,780+,<=60,29-36,NE,Refinance,Primary,PUD,ServicerA,2019
LN0000055,2022-09,251000,2.75,360,700-739,96-100,,NE,Cash-Out Refinance,Primary,Multi-Family,ServicerA,2022
LN0000056,2020-12,271000,6.66,360,780+,71-80,44-50,KS,Purchase,Primary,Single Family,ServicerB,2020
LN0000057,2022-07,600000,7.5,180,620-659,71-80,37-43,VT,Cash-Out Refinance,Primary,PUD,ServicerB,2022
LN0000058,2022-07,251000,3.125,360,620-659,<=60,29-36,VT,Purchase,Primary,PUD,ServicerE,2022
LN0000059,2020-04,45000,2.875,360,<620,<=60,<=28,VT,Refinance,Primary,Co-op,ServicerD,2020
LN0000060,2019-09,452000,7.739,360,660-699,61-70,44-50,MT,Purchase,Primary,Single Family,ServicerA,2019
LN0000061,2021-02,163000,3.0,120,700-739,61-70,29-36,NM,Cash-Out Refinance,Primary,Single Family,ServicerA,2021
LN0000062,2018-02,144000,3.75,360,660-699,<=60,37-43,NE,Refinance,Primary,PUD,ServicerE,2018
LN0000063,2019-11,80000,4.125,180,780+,71-80,>50,,Purchase,Primary,Multi-Family,ServicerD,2019
LN0000064,2019-11,185000,8.5,120,660-699,96-100,37-43,WV,Refinance,Primary,PUD,ServicerC,2019
LN0000065,2021-10,66000,6.125,360,660-699,71-80,44-50,MT,Purchase,Primary,Condo,ServicerA,2021
LN0000066,2018-07,235000,3.25,360,700-739,91-95,29-36,NE,Refinance,Investment,Condo,ServicerE,2018
LN0000067,2021-10,493000,2.875,360,620-659,>100,44-50,NH,Purchase,Secondary,Single Family,ServicerB,2021
LN0000068,2021-09,406000,3.625,360,740-779,<=60,<=28,ID,Cash-Out Refinance,Primary,Multi-Family,ServicerE,2021
LN0000069,2020-09,204000,5.874,360,<620,<=60,29-36,WY,Purchase,Investment,Multi-Family,ServicerB,2020
LN0000070,2018-11,307000,4.25,360,780+,<=60,29-36,MT,Refinance,Primary,Multi-Family,ServicerA,2018
LN0000071,2018-11,106000,2.0,240,740-779,61-70,<=28,NM,Refinance,Primary,Single Family,ServicerA,2018
LN0000072,2022-05,98000,2.375,120,620-659,<=60,37-43,NH,Refinance,Primary,Multi-Family,ServicerE,2022
LN0000073,2020-02,181000,3.187,360,<620,<=60,37-43,ID,Refinance,Primary,Condo,ServicerD,2020
LN0000074,2020-07,125000,3.0,360,740-779,61-70,<=28,ND,Purchase,Primary,PUD,ServicerA,2020
LN0000075,2019-08,93000,4.25,360,740-779,<=60,37-43,HI,Purchase,Primary,Multi-Family,ServicerC,2019
LN0000076,2018-12,131000,2.625,360,740-779,71-80,44-50,ID,Purchase,Primary,PUD,ServicerA,2018
LN0000077,2020-09,132000,3.125,180,740-779,61-70,37-43,NH,Purchase,Primary,Multi-Family,ServicerE,2020
LN0000078,2019-09,111000,3.25,360,<620,71-80,<=28,KS,Purchase,Investment,Single Family,ServicerD,2019
LN0000079,2018-11,402000,3.44,360,660-699,91-95,44-50,WV,Purchase,Primary,Condo,ServicerC,2018
LN0000080,2020-11,327000,2.25,360,620-659,71-80,29-36,NH,Cash-Out Refinance,Primary,Multi-Family,ServicerE,2020
LN0000081,2022-10,128000,2.99,360,780+,<=60,37-43,AK,Purchase,Primary,Condo,ServicerA,2022
LN0000082,2019-03,243000,3.25,180,740-779,71-80,44-50,NE,Purchase,Primary,Single Family,ServicerC,2019
LN0000083,2020-03,58000,2.99,360,660-699,<=60,37-43,ID,Other,Primary,Co-op,ServicerE,2020
LN0000084,2022-09,234000,4.25,360,<620,61-70,<=28,RI,Cash-Out Refinance,Primary,Single Family,ServicerD,2022
LN0000085,2018-10,320000,9.75,360,660-699,61-70,44-50,ID,Refinance,Primary,PUD,ServicerA,2018
LN0000086,2020-08,142000,4.99,360,660-699,<=60,29-36,NM,Purchase,Primary,PUD,ServicerC,2020
LN0000087,2018-02,195000,2.25,360,740-779,61-70,44-50,NH,Purchase,Secondary,PUD,ServicerE,2018
LN0000088,2020-05,219000,6.25,360,740-779,71-80,44-50,VT,Purchase,Primary,Single Family,ServicerE,2020
LN0000089,2019-01,64000,6.25,360,780+,<=60,37-43,SD,Purchase,Primary,Multi-Family,ServicerD,2019
LN0000090,2019-10,183000,6.375,360,700-739,91-95,37-43,KS,Purchase,Primary,Co-op,ServicerE,2019
LN0000091,2018-02,195000,4.125,360,620-659,<=60,<=28,KS,Cash-Out Refinance,Primary,Single Family,ServicerC,2018
LN0000092,2021-02,206000,5.125,240,740-779,81-90,>50,MT,Purchase,Primary,Co-op,ServicerC,2021
LN0000093,2022-03,164000,6.625,360,740-779,<=60,37-43,ID,Cash-Out Refinance,Primary,Co-op,ServicerC,2022
LN0000094,2019-11,376000,3.25,360,700-739,81-90,>50,WY,Refinance,Primary,Single Family,ServicerC,2019
LN0000095,2021-09,111000,7.75,360,740-779,61-70,44-50,ND,Refinance,Primary,Multi-Family,ServicerA,2021
LN0000096,2019-05,138000,8.25,360,700-739,<=60,>50,WY,Cash-Out Refinance,Primary,Multi-Family,ServicerD,2019
LN0000097,2022-10,47000,6.25,180,700-739,91-95,29-36,KS,Cash-Out Refinance,Secondary,Multi-Family,ServicerC,2022
LN0000098,2021-04,144000,5.0,120,700-739,<=60,>50,NM,Other,Primary,Multi-Family,ServicerD,2021
LN0000099,2022-12,200000,1.99,360,<620,<=60,29-36,ND,Purchase,Primary,Multi-Family,ServicerB,2022
LN0000100,2019-12,235000,2.875,360,620-659,<=60,37-43,ID,Purchase,Primary,Single Family,ServicerE,2019
LN0000101,2020-07,113000,3.875,360,<620,<=60,44-50,ID,Purchase,Secondary,Condo,ServicerC,2020
LN0000102,2020-08,91000,4.25,360,740-779,71-80,<=28,VT,Other,Primary,Multi-Family,ServicerE,2020
LN0000103,2022-08,122000,3.5,360,660-699,71-80,<=28,NE,Refinance,Primary,Single Family,ServicerB,2022
