loan_id,update_date,servicer_name,reported_balance,reported_status,reported_rate,source_system,conflict_type,stale_flag,notes
LN0008770,2022-08-31,ServicerB,0.0,30DPD,3.653,Manual-Entry,none,0,Update from ServicerA
LN0008770,2022-05-30,ServicerD,0.0,Current,7.434,Batch-Upload,none,0,Update from ServicerB
LN0008770,2022-04-09,ServicerE,0.0,30DPD,6.168,Manual-Entry,none,0,Update from ServicerA
LN0001076,2021-11-22,ServicerA,170023.29,Current,6.351,Manual-Entry,balance_mismatch,0,Update from ServicerC
LN0002803,2022-01-29,ServicerC,270634.2,90DPD,4.702,LOS,stale_record,1,Update from ServicerA
LN0002803,2022-07-05,ServicerE,270634.2,Default,5.52,LOS,rate_discrepancy,0,Update from ServicerC
LN0002803,2021-05-02,ServicerE,270634.2,60DPD,3.356,Manual-Entry,stale_record,1,Update from ServicerC
LN0002803,2022-06-03,ServicerE,270634.2,Default,5.916,Servicer-Portal,rate_discrepancy,0,Update from ServicerC
LN0002803,2022-01-11,ServicerE,270634.2,60DPD,7.081,Servicer-Portal,none,0,Update from ServicerD
LN0002803,2023-06-05,ServicerB,270634.2,Default,5.199,Servicer-Portal,none,0,Update from ServicerC
LN0009012,2022-09-01,ServicerA,0.0,90DPD,3.187,Manual-Entry,none,0,Update from ServicerB
LN0009012,2021-02-05,ServicerE,0.0,Default,5.701,Manual-Entry,balance_mismatch,0,Update from ServicerA
LN0004932,2023-05-10,ServicerD,0.0,60DPD,6.277,Batch-Upload,status_conflict,0,Update from ServicerD
LN0004932,2021-03-23,ServicerE,0.0,30DPD,4.533,LOS,none,0,Update from ServicerD
LN0004932,2023-12-07,ServicerE,0.0,Current,6.692,Servicer-Portal,stale_record,1,Update from ServicerB
LN0004932,2023-11-08,ServicerD,0.0,90DPD,5.188,Servicer-Portal,none,0,Update from ServicerA
LN0004932,2023-11-14,ServicerB,0.0,Current,5.13,Manual-Entry,none,0,Update from ServicerD
LN0004932,2023-06-23,ServicerD,0.0,Default,4.03,LOS,stale_record,1,Update from ServicerA
LN0009886,2022-07-25,ServicerC,0.0,Default,6.624,LOS,none,0,Update from ServicerB
LN0009886,2021-08-19,ServicerE,0.0,Current,4.358,LOS,balance_mismatch,0,Update from ServicerB
LN0009886,2022-10-16,ServicerE,0.0,Default,8.328,LOS,none,0,Update from ServicerD
LN0009886,2022-06-25,ServicerC,0.0,30DPD,3.346,LOS,stale_record,1,Update from ServicerC
LN0009886,2023-09-12,ServicerE,0.0,90DPD,6.103,Batch-Upload,none,0,Update from ServicerB
LN0009886,2023-08-23,ServicerA,0.0,Current,2.914,Servicer-Portal,none,0,Update from ServicerB
LN0008969,2021-01-25,ServicerC,287822.36,Default,4.594,Batch-Upload,status_conflict,0,Update from ServicerE
LN0008969,2023-07-11,ServicerE,287822.36,60DPD,6.428,Servicer-Portal,stale_record,1,Update from ServicerC
LN0008969,2023-01-13,ServicerC,287822.36,Current,4.207,Manual-Entry,stale_record,1,Update from ServicerE
LN0007681,2022-12-12,ServicerE,273651.37,Current,3.965,Batch-Upload,none,0,Update from ServicerD
LN0007681,2021-09-25,ServicerA,273651.37,Current,5.466,Manual-Entry,stale_record,1,Update from ServicerA
LN0007681,2021-04-16,ServicerD,273651.37,60DPD,4.817,Manual-Entry,rate_discrepancy,0,Update from ServicerC
LN0007681,2021-09-29,ServicerB,273651.37,90DPD,6.315,Manual-Entry,status_conflict,0,Update from ServicerA
LN0007681,2023-11-17,ServicerB,441659.38,30DPD,8.289,Servicer-Portal,balance_mismatch,0,Update from ServicerE
LN0007382,2023-08-19,ServicerE,70106.31,Current,3.599,Manual-Entry,balance_mismatch,0,Update from ServicerB
